year,name,code,gini
1914,USA,USA,0.3477267075212802
1915,USA,USA,0.3394467995782544
1916,USA,USA,0.3636928495180661
1917,USA,USA,0.36876635157049453
1918,USA,USA,0.3553440759466412
1919,USA,USA,0.3757770923046718
1920,USA,USA,0.3528936116456578
1921,USA,USA,0.3830638108031208
1922,USA,USA,0.3727340227492055
1923,USA,USA,0.347741027144307
1924,USA,USA,0.3699268983226642
1925,USA,USA,0.3908057402259415
1926,USA,USA,0.39578210984352136
1927,USA,USA,0.3880425766545538
1928,Russian Federation,RUS,0.2960768965953409
1928,USA,USA,0.4009528731795836
1929,USA,USA,0.3881177543445616
1930,USA,USA,0.37122974672838094
1931,USA,USA,0.3642628023642972
1932,USA,USA,0.38028350901029095
1933,USA,USA,0.3842459849062002
1934,Russian Federation,RUS,0.3194103071493104
1934,USA,USA,0.3983418692504447
1935,USA,USA,0.3880233252668791
1936,USA,USA,0.39628898922472106
1937,USA,USA,0.3836580105573147
1938,USA,USA,0.38096811920398976
1939,USA,USA,0.3964314701886248
1940,USA,USA,0.3959728380521379
1941,USA,USA,0.376814332230246
1942,USA,USA,0.3287444603907493
1943,USA,USA,0.29752838801926274
1944,USA,USA,0.27624506128956905
1945,USA,USA,0.2721536640871943
1946,USA,USA,0.28631489871219484
1947,USA,USA,0.2855076060644549
1948,USA,USA,0.30483822114864145
1949,USA,USA,0.2984616350676653
1950,USA,USA,0.3055289111578916
1951,India,IND,0.4610648581717026
1952,India,IND,0.4576951443991459
1952,USA,USA,0.27899582421468194
1953,India,IND,0.4525891507989569
1953,USA,USA,0.2677856744390008
1954,India,IND,0.4675777466871411
1954,USA,USA,0.2719510231301707
1955,India,IND,0.4886758664236828
1955,USA,USA,0.2789752824138064
1956,India,IND,0.4827981830307162
1956,Russian Federation,RUS,0.3647170926264095
1956,USA,USA,0.2706275359353758
1957,India,IND,0.4690778497477316
1957,USA,USA,0.27056010995367963
1958,India,IND,0.4749228316896941
1958,USA,USA,0.2691924393059433
1959,India,IND,0.464030694603859
1959,Russian Federation,RUS,0.3644762352521728
1959,USA,USA,0.274377337363075
1960,India,IND,0.4526552916194563
1960,USA,USA,0.2684764843813265
1961,India,IND,0.4562352511410669
1961,Russian Federation,RUS,0.35415705146065896
1961,USA,USA,0.27045842153779986
1962,India,IND,0.4496311840171259
1962,USA,USA,0.4718138643870918
1963,India,IND,0.4350455839969426
1963,USA,USA,0.4232055902496049
1964,India,IND,0.433499561332758
1964,Russian Federation,RUS,0.33508850948667346
1964,USA,USA,0.4853401830067331
1965,India,IND,0.434882389614948
1965,USA,USA,0.42348691807046135
1966,India,IND,0.43775650217854606
1966,Russian Federation,RUS,0.3084393089143368
1966,USA,USA,0.4732529976703033
1967,India,IND,0.4385288554215157
1967,USA,USA,0.4539060643763202
1968,India,IND,0.43108294879984105
1968,Russian Federation,RUS,0.27804836590575843
1968,USA,USA,0.4579364823658933
1969,India,IND,0.44140606288761775
1969,USA,USA,0.444656612604151
1970,Czech Republic,CZE,0.22508336096722725
1970,France,FRA,0.5752841209091284
1970,India,IND,0.4428109094917501
1970,USA,USA,0.445479114493298
1971,France,FRA,0.5678786741014433
1971,India,IND,0.42499174650963056
1971,USA,USA,0.454554305301046
1972,France,FRA,0.5624778995872566
1972,India,IND,0.4224956573756122
1972,Russian Federation,RUS,0.2905421326937905
1972,USA,USA,0.4586530595599018
1973,Czech Republic,CZE,0.20988046579864936
1973,France,FRA,0.5575300228333422
1973,India,IND,0.4219711410268431
1973,USA,USA,0.4576160028378209
1974,France,FRA,0.5523649423531772
1974,India,IND,0.422940444100312
1974,USA,USA,0.4485574374651956
1975,France,FRA,0.5398573425957931
1975,India,IND,0.42470892227046403
1975,USA,USA,0.4564056351524416
1976,Czech Republic,CZE,0.206960596202894
1976,France,FRA,0.5351520905095855
1976,India,IND,0.4269717678797231
1976,Korea, Republic of,0.16225869997903994
1976,Russian Federation,RUS,0.2894073897478977
1976,USA,USA,0.4542960916038198
1977,France,FRA,0.5315538931037647
1977,India,IND,0.42569272583772705
1977,Korea, Republic of,0.16553741263664012
1977,USA,USA,0.4592859883317589
1978,China,CHN,0.2844595716834045
1978,France,FRA,0.5258195990252121
1978,India,IND,0.4223589230247249
1978,Korea, Republic of,0.19430018198605992
1978,USA,USA,0.45974020052746795
1979,China,CHN,0.2859587942098752
1979,France,FRA,0.5231343810164208
1979,India,IND,0.4114902586747482
1979,Korea, Republic of,0.18726470783411
1979,USA,USA,0.4594138578040371
1980,China,CHN,0.2872191478786332
1980,Czech Republic,CZE,0.2053861463678669
1980,Germany,DEU,0.35194179668968384
1980,France,FRA,0.5243693164288961
1980,India,IND,0.4063608203186141
1980,Korea, Republic of,0.19886380229481004
1980,Russian Federation,RUS,0.27815171503985325
1980,USA,USA,0.4583583698226082
1981,China,CHN,0.2926099527054632
1981,Germany,DEU,0.3520689054933561
1981,France,FRA,0.5224346375689572
