name,code,gini
1914
USA,USA,0.3477267075212802
1915
USA,USA,0.3394467995782544
1916
USA,USA,0.363692849518066
1917
USA,USA,0.36876635157049464
1918
USA,USA,0.3553440759466412
1919
USA,USA,0.3757770923046718
1920
USA,USA,0.3528936116456578
1921
USA,USA,0.3830638108031208
1922
USA,USA,0.37273402274920553
1923
USA,USA,0.347741027144307
1924
USA,USA,0.36992689832266423
1925
USA,USA,0.3908057402259415
1926
USA,USA,0.39578210984352136
1927
USA,USA,0.3880425766545538
1928
Russian Federation,RUS,0.29607689659534087
USA,USA,0.4009528731795836
1929
USA,USA,0.38811775434456164
1930
USA,USA,0.37122974672838094
1931
USA,USA,0.3642628023642972
1932
USA,USA,0.38028350901029095
1933
USA,USA,0.3842459849062002
1934
Russian Federation,RUS,0.3194103071493104
USA,USA,0.3983418692504447
1935
USA,USA,0.3880233252668791
1936
USA,USA,0.396288989224721
1937
USA,USA,0.38365801055731474
1938
USA,USA,0.38096811920398976
1939
USA,USA,0.3964314701886248
1940
USA,USA,0.3959728380521379
1941
USA,USA,0.37681433223024596
1942
USA,USA,0.32874446039074934
1943
USA,USA,0.29752838801926274
1944
USA,USA,0.27624506128956905
1945
USA,USA,0.2721536640871943
1946
USA,USA,0.28631489871219484
1947
USA,USA,0.2855076060644549
1948
USA,USA,0.30483822114864145
1949
USA,USA,0.2984616350676653
1950
USA,USA,0.3055289111578916
1951
India,IND,0.4610648581717026
1952
India,IND,0.45769514439914594
USA,USA,0.27899582421468194
1953
India,IND,0.4525891507989569
USA,USA,0.2677856744390008
1954
India,IND,0.46757774668714114
USA,USA,0.2719510231301707
1955
India,IND,0.48867586642368277
USA,USA,0.2789752824138064
1956
India,IND,0.4827981830307162
Russian Federation,RUS,0.3647170926264095
USA,USA,0.2706275359353758
1957
India,IND,0.4690778497477316
USA,USA,0.27056010995367963
1958
India,IND,0.47492283168969407
USA,USA,0.2691924393059433
1959
India,IND,0.46403069460385904
Russian Federation,RUS,0.36447623525217276
USA,USA,0.274377337363075
1960
India,IND,0.4526552916194563
USA,USA,0.26847648438132654
1961
India,IND,0.4562352511410669
Russian Federation,RUS,0.354157051460659
USA,USA,0.27045842153779986
1962
India,IND,0.4496311840171259
USA,USA,0.47181386438709183
1963
India,IND,0.4350455839969426
USA,USA,0.4232055902496049
1964
India,IND,0.433499561332758
Russian Federation,RUS,0.33508850948667346
USA,USA,0.4853401830067331
1965
India,IND,0.43488238961494796
USA,USA,0.42348691807046135
1966
India,IND,0.437756502178546
Russian Federation,RUS,0.3084393089143368
USA,USA,0.47325299767030327
1967
India,IND,0.43852885542151565
USA,USA,0.4539060643763202
1968
India,IND,0.431082948799841
Russian Federation,RUS,0.27804836590575843
USA,USA,0.45793648236589324
1969
India,IND,0.44140606288761775
USA,USA,0.444656612604151
1970
Czech Republic,CZE,0.22508336096722725
France,FRA,0.5752841209091284
India,IND,0.44281090949175006
USA,USA,0.445479114493298
1971
France,FRA,0.5678786741014433
India,IND,0.42499174650963056
USA,USA,0.454554305301046
1972
France,FRA,0.5624778995872566
India,IND,0.42249565737561223
Russian Federation,RUS,0.2905421326937905
USA,USA,0.45865305955990177
1973
Czech Republic,CZE,0.20988046579864938
France,FRA,0.5575300228333422
India,IND,0.4219711410268431
USA,USA,0.4576160028378209
1974
France,FRA,0.5523649423531772
India,IND,0.42294044410031195
USA,USA,0.4485574374651956
1975
France,FRA,0.5398573425957931
India,IND,0.424708922270464
USA,USA,0.4564056351524416
1976
Czech Republic,CZE,0.20696059620289398
France,FRA,0.5351520905095855
India,IND,0.42697176787972313
Korea, Republic of,0.16225869997903997
Russian Federation,RUS,0.2894073897478977
USA,USA,0.4542960916038198
1977
France,FRA,0.5315538931037647
India,IND,0.425692725837727
Korea, Republic of,0.16553741263664012
USA,USA,0.45928598833175893
1978
China,CHN,0.2844595716834045
France,FRA,0.5258195990252121
India,IND,0.4223589230247249
Korea, Republic of,0.19430018198605992
USA,USA,0.459740200527468
1979
China,CHN,0.2859587942098752
France,FRA,0.5231343810164208
India,IND,0.4114902586747482
Korea, Republic of,0.18726470783410998
USA,USA,0.4594138578040371
1980
China,CHN,0.2872191478786332
Czech Republic,CZE,0.2053861463678669
Germany,DEU,0.35194179668968384
France,FRA,0.5243693164288961
India,IND,0.4063608203186141
Korea, Republic of,0.19886380229481004
Russian Federation,RUS,0.27815171503985325
USA,USA,0.45835836982260814
1981
China,CHN,0.2926099527054632
Germany,DEU,0.3520689054933561
France,FRA,0.5224346375689572
India,IND,0.40090294567349427
Korea, Republic of,0.19950966000862014
USA,USA,0.4648427118325743
1982
China,CHN,0.2956788465298193
Germany,DEU,0.35106721538882013
France,FRA,0.5216448812733567
India,IND,0.3965478734371728
Korea, Republic of,0.20569712855148992
USA,USA,0.47187516248540673
1983
China,CHN,0.3002287336675688
Germany,DEU,0.3499677016058954
France,FRA,0.5210770868246519
India,IND,0.44047429931623494
Korea, Republic of,0.2091921586810399
Poland,POL,0.2780376000949981
USA,USA,0.4813828559630827
1984
China,CHN,0.3094906160971213
Germany,DEU,0.34962792678976495
France,FRA,0.5208655914720917
India,IND,0.42499602985045737
Korea, Republic of,0.20558459099862014
Poland,POL,0.29084537982329706
USA,USA,0.49133673401443656
1985
China,CHN,0.3252457499865994
Czech Republic,CZE,0.19858235987247708
Germany,DEU,0.351529940929738
France,FRA,0.5103512206743566
India,IND,0.4369047210596093
Korea, Republic of,0.1989780304646399
Poland,POL,0.2772336819717023
Russian Federation,RUS,0.2828613405439252
USA,USA,0.4914928990389176
1986
China,CHN,0.3208928297487113
Germany,DEU,0.35361653225856404
France,FRA,0.5030934344408582
India,IND,0.43927709542163795
Poland,POL,0.28096770114970215
USA,USA,0.49322062993301163
1987
China,CHN,0.3174845921904763
Germany,DEU,0.36424858272355787
France,FRA,0.49583939877272376
India,IND,0.434350820257972
Poland,POL,0.2810729444165704
USA,USA,0.5028439992168388
1988
Cote d'Ivoire,CIV,0.6245482829740001
China,CHN,0.3248519820251635
Czech Republic,CZE,0.20045875640399402
Germany,DEU,0.3732240167933749
France,FRA,0.48564113196910164
India,IND,0.441808375083071
Poland,POL,0.26273095143810143
Russian Federation,RUS,0.28123276699501354
USA,USA,0.5129986679647358
1989
China,CHN,0.33043458691752237
Germany,DEU,0.3831507321800788
France,FRA,0.4899017189302943
India,IND,0.44174791660714063
Poland,POL,0.282999916344298
Russian Federation,RUS,0.2961455066845702
USA,USA,0.5118261897312018
1990
China,CHN,0.33079802500644995
Germany,DEU,0.3807596285862823
France,FRA,0.48864130240538384
India,IND,0.42621072051517983
Russian Federation,RUS,0.30902045006137335
USA,USA,0.5135392649228416
Yemen,YEM,0.5895359936540001
1991
