name,code,gini
Bahrain,BHR,0.5906703335748191
Brazil,BRA,0.6473948188878071
China,CHN,0.4675012152674134
Czech Republic,CZE,0.32381918113574093
Germany,DEU,0.4301586054837351
France,FRA,0.4741163905253474
India,IND,0.5241982416886082
Korea, Republic of,0.28015528899172004
Lebanon,LBN,0.6147981652519999
Poland,POL,0.42901316751004315
Palestine,PSE,0.593360603211474
Russian Federation,RUS,0.5833536810551535
Slovenia,SVN,0.3332908749100001
Thailand,THA,0.644568907068666
Turkey,TUR,0.5824411458136982
USA,USA,0.5745751011659697
Yemen,YEM,0.590264947750889
